STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
74,Mì trộn Tùm Lum,Mì trộn,Món khô,"1196 CMT8, P.4",Quận Tân Bình,10h-22h,,
75,Xủi cảo Hà Tôn Quyền ,Xủi Cảo,Món khô,"162 Hà Tôn Quyền, Q11",Quận 11,15h-0h,"50k-100k
",
76,Chỗ bụi ngồi chill ngắm view,Bụi,Ăn vặt,"Qua cầu Thủ Thiêm 2 rồi rẽ phải, đến ngã ba đầu tiên rẽ phải tiếp là đến ",Quận 2,,,
77,Nem nướng Nha Trang Thiện Tâm,Nem nướng,Món cuốn,"504 Minh Phụng, P.9",Quận 11,8h-23h,,
78,Đặc sản Phan Rang 2 Phượng,"Bánh căn, bánh khọt",Món cuốn,"CC22 Trường Sơn, Cư Xá Bắc Hải, P.15",Quận 10,09:00 - 22:30,40-60k,
79,Sushi sashimi Kimochi,"Sushi, Sashimi",Sang choảnh - Không gian xinh,"167/2/5 Ngô Tất Tố, P. 22, Phường 22",Quận Bình Thạnh,10h-22h,,
80,Bánh Mì Xíu Mại Gánh - Vạn Kiếp,Bánh mì xíu mại,Bánh mì,"A2/8 Chung Cư Miếu Nổi, P.2",Quận Bình Thạnh,14:00 - 18:00,15k,
81,Gum Fastfood - Món âu,Món âu,Sang choảnh - Không gian xinh,245/1 Nguyễn Trãi,Quận 1,10h-21h30,,
82,Mì quảng O Hè,Mì quảng,Món nước,"Cuối hẻm 315 Lê Văn Sỹ, phường 13",Quận 3,06:30 - 12:30,45-50k,
83,Bánh mì Hồng,Bánh mì ba chỉ muối,Bánh mì,"311 Nguyễn Tri Phương,",Quận 10,17h30-24h,,
84,Hủ tiếu bánh canh Cầu Dừa,"Hủ tiếu, bánh canh",Món nước,"https://www.google.com/maps/place/Che%CC%80+Tro%CC%A3ng/@10.7586193,106.694403,21z/data=!4m14!1m7!3m6!1s0x31752f8a42f114ef:0x95ae0451733a83f5!2zQ8SDbiBo4buZIFRoZSBHb2xkdmlldw!8m2!3d10.7561489!4d106.6918671!16s%2Fg%2F11fw0c6q49!3m5!1s0x31752f123083c0f1:0xe27ea2baa4a2d091!8m2!3d10.7586288!4d106.6944379!16s%2Fg%2F11f54thms8",Quận 4,19h-21h,45k,
85,Tré trộn Bà Đào,Tré trộn,Ăn vặt,"85 Rạch Bung Binh, Phường 9",Quận 3,09:00 - 22:00,50k,
86,Bún thái Ni,Bún thái,Món nước,"232 Hoàng Hoa Thám, phường 5",Quận Bình Thạnh,17:00 - 22:00,45-65k,
87,Món nhật Sachi Sushi,Món nhật,Sang choảnh - Không gian xinh,"13 Đường số 10, Tân Quy, Quận 7",Quận 7,17h-22h,,
88,Bánh mì Gánh Cụ Bà (Đại gia BD),Bánh mì,Bánh mì,,,,,
89,Cơm tấm Cô Giang,Cơm tấm,Cơm,"Đối diện 27 Cô Giang, Cầu Ông Lãnh",Quận 1,16-22h,,
90,Bún thịt nướng ngon,Bún thịt nướng,Món khô,Số 1 Nguyễn Trung Trực,Quận 1,08:00 - 19:00,50-70k,
91,Làng Chài - Nem nướng nha trang,Nem nướng,Món cuốn,"52 Hoàng Diệu, p.12
15/2 Đoàn Như Hải, P.13",Quận 4,7h-21h,,
92,Bún Bò Huế O HẠNH,Bún bò,Món nước,"32 Đ. Số 10, Tân Kiểng",Quận 7,6h30-20h,35-40k,
93,Ăn vặt,"Xiên bẩn, trà sữa",Ăn vặt,"70 đường số 5, Cư Xá Bình Thới",Quận 11,,,
94,Ăn vặt,"Xiên bẩn, trà sữa",Ăn vặt,38A Nguyễn Giản Thanh,Quận 10,,,
95,Nem lụi Cô Đào,Nem lụi cuốn,Món cuốn,Hẻm 209 Lê Văn Sỹ,Quận 3,12:30 - 19:00,,
96,Cơm tấm đêm,Cơm tấm đêm,Cơm,"178 Hậu Giang, P.6",Quận 6,00:01 - 05:00 | 22:00 - 23:59,,
97,Bếp cô Linh,Cơm tấm Long xuyên,Cơm,"710/6/8 Phan Văn Trị, P.10",Quận Gò Vấp,06:30 - 09:00 | 11:00 - 18:00,35-50k,
98,Bánh mì nướng ớt đỏ Thành Công,Bánh mì nướng,Bánh mì,"50 Nguyễn Xuân Khoái, Tân Thành",Quận Tân Phú,11h-21h,20k,
99,7 Ngày 7 Món,Bún mắm,Món nước,26 Cô Giang,Quận 1,6h-11h,"T2: bún mắm
T3: Mì vịt tiềm
T4: Bún thái (hoặc bún bò huế)
T5: Cháo cá, bánh mì hấp
T6: Bún cà ri gà (hoặc hủ tiếu gà)
T7: Bò kho (Bún bò viên gân, Xíu mại tôm)
CN: Bún gói già
(Mỗi ngày đều có Bún thịt nướng - bánh hỏi - bánh nghệ)",Ngày chay nghỉ
100,K-Jeju Chicken,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,"222 Đường D5, P.25, Bình thạnh",Quận Bình Thạnh,10:00 - 22:00,100k-300k,
101,Norang Tongdak,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,"34 Đường số 6, Hưng Vượng 2, Tân Phong",Quận 7,00:01 - 01:00 | 11:30 - 23:59,,
102,Pháp mì gà,"Mì gà, hủ tiếu",Món nước,"440/14 Thống Nhất, P.16",Quận Gò Vấp,10:00 - 21:00,35k,
103,Cơm gà xối mỡ ngon,Cơm gà,Cơm,"702 Trường Sa, Phường 14",Quận 3,8h-18h,,
104,Chả lụi nướng Lagi,Chả lụi Lagi,Món cuốn,"21 Nguyễn Văn Nghi, Phường 4",Quận Gò Vấp,15h-22h,28k,
105,Bánh mì Cá Hàng Xanh,Bánh mì cá,Bánh mì,246D XVNT,Quận Bình Thạnh,14:00 - 23:00,,
106,Hủ tiếu Sườn sụn,Hủ tiếu,Món nước,Hẻm 618 CMT8 (Đối diện CV Lê Thị Riêng),Quận 10,17:00 - 22:00,35-50k,
107,Johnson - Tokbokki & Kimbap,Món hàn,Sang choảnh - Không gian xinh,118 Nguyễn Gia Trí,Quận Bình Thạnh,10h45-21h30,Giá sinh viên,
108,Phở trộn,Phở trộn,Món nước,"433 Hậu Giang, P,11",Quận 6,6h30-23h30,55k-60k,
109,Chicken Plus,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,Nhiều chi nhánh,Quận Bình Thạnh,,,
110,Dimsum nổi tiếng,Dimsum,Món nước,"38B Học Lạc, P.14",Quận 5,6h-12h | 15h-21h,45k,
111,Mì quảng chuẩn vị miền Nam,Mì quảng bánh canh,Món nước,"Hẻm 85 Trần Quang Diệu, P.13",Quận 3,06:00 - 12:00,55k,
112,Miến gà trộn Đại Học Kiến Trúc,Miến trộn,Món khô,"196 Pasteur, Vo Thi Sau",Quận 3,6h-12h,25k,
113,Bò chảo Tân Định,Bò chảo,Món khô,181 Đinh Tiên Hoàng,Quận 1,06:30 - 22:00,50k,
114,Mì trộn muối ớt Bà Quàng,Mì trộn,Món nước,"40/49 Lê Thị Riêng, p.17",Quận Gò Vấp,06:00 - 22:00,35-50k,
115,Burger Trịu Viu,"Burger, Mì ý",Fastfood,"Xe 1 : 348 Tôn Dán - q.4
Xe 2 : 353 Mã Lò - Binh Tân
Xe 3 : 12 Huÿnh Thúc Kháng - q.1",Quận 4,09:30 - 22:00,40-60k,
116,Bánh bèo Cô Ba,Bánh bèo,Món khô,"123 Nguyễn Thông, P9 Quận 3",Quận 3,16h-hết,,
117,Bún bò Ngọc Nhân,Bún bò,Món nước,102 Ngô Thị Thu Minh,Quận Tân Bình,07:30 - 13:00 | 16:30 - 21:00,45-60k,
118,Bánh mì nướng muối ớt Phúc Mập,Bánh mì nướng,Bánh mì,"271 Tân Hương, Tân Quý, Tân Phú
235 Nguyễn Thái Bình, Tân Bình",Quận Tân Bình,14:00 - 21:00,27k,
119,Cơm Tấm 64A,Cơm tấm,Cơm,"64A Lý Nam Đế, P. 7, Quận 11",Quận 11,6:20 - 12:00,,
120,Buffet Cơm Chay,Cơm chay,Đồ chay,47 Bis Võ Văn Tần,Quận 3,,Mỗi tháng cứ 2 ngày mùng 1 với 15,
121,Lẩu bò 150 (Không gian cafe đẹp),Lẩu bò,Lẩu,"150 Phan Xích Long, Phú nhuận",Quận Phú Nhuận,16h-23h,200k/2 người,
122,Nấu mì Hàn Quốc tự động MYTO,Cửa hàng tiện lợi,Món khô,"20-22 Phạm Ngọc Thạch, Quận 3",Quận 3,7h-0h,,
123,Hủ tiếu gõ bình dân,Hủ tiếu,Món nước,"368 Nơ Trang Long, P.13, Bình Thạnh",Quận Bình Thạnh,,,
124,Bánh canh cua Cầu Calmette,Bánh canh cua,Món nước,"19 Calmette, Phường Nguyễn Thái Bình, Quận 1 ",Quận 1,11h - 17h ,,
125,Bánh canh của Cô Tư,Banh canh cua,Món nước,"45 Bạch Vân, P.5, Quận 5",Quận 5,14h-18h,50-100k,
126,Bún bò 25k lề đường Hai Ba Trưng,Bún bò,Món nước,Đối diện 151C Hai Bà Trưng,Quận 3,10h-hết,25k,
127,Bún riêu cua,Bún riêu,Món nước,120 Hậu Giang,Quận 6,18:00 - 23:59,50-60k,
128,Mì trộn Dách Lou,Mì trộn,Ăn vặt,75D Phú Thọ,Quận 11,10h-23h,,
129,Bánh mì xiên nướng đông khách,Bánh mì,Bánh mì,"375 Nguyễn Trãi, P.7",Quận 5,sáng sớm,15k,
130,"Ăn vặt SPEIT (mì ỳ, thịt bọc trứng)",Đồ ăn vặt xịn,Ăn vặt,349/16 Nguyễn Trãi,Quận 5,11h-22h,,
131,Xúc xích đức Leon King,Xúc xích đức,Ăn vặt,"491/32 Nguyễn Văn Công, P.3",Quận Gò Vấp,8h-21h,,
132,Bánh mì thịt nướng đông khách,Bánh mì,Bánh mì,"247 Hoàng Sa, Tân định",Quận 1,6h30-14h,,
133,Xôi Bánh Mì Cô Tuyền,Xôi - Bánh mì,Bánh mì,"82 Nguyễn Du, Bến Nghé",Quận 1,05:00 - 09:30,25k,
134,Núp Coffee & Tea,Cà phê trân châu,Quán nước,"45 Dương Đình Nghệ, P8, Q11
906 Trường Sa, P13, Q3
20 Tân Hoà Đông, P14, Q6
320 Bà Hạt, P9, Q10",Quận 10,08:00 - 22:00,40-60k,
135,Phở Thu (Phở trộn),"Phở nước, trộn",Món nước,"433 Hậu Giang, P.11",Quận 6,6h30-1h30 sáng hôm sau,,
136,Chickita - Gà nướng lửa hồng,Gà nướng,Sang choảnh - Không gian xinh,"230 Nguyễn Văn Hưởng, P. Thảo Điền,  Tp. Thủ Đức
94 Hồ Tùng Mậu, P. Bến Nghé,  Quận 1",Quận 1,10:30 - 20:45,100-300k,
137,Nem nướng - Chả lagi,Nem nướng - Chả lagi,Món khô,43/1 Tăng Bạt Hổ,Quận Bình Thạnh,15:30 - 22:00,30k,
138,The B6.Saigon,Box đồ ăn thập cẩm Hàn Quốc,Sang choảnh - Không gian xinh,"157/28D Nguyễn Gia Trí, P.25",Quận Bình Thạnh,9:00 - 22:00,2xx,
139,Bánh Mì 3 Cô - chợ Nguyễn Văn Trỗi,"Bánh mì xíu mại ngon, thịt chả",Bánh mì,"217 Lê Văn Sỹ , Phường 13, Quận 3",Quận 3,06H00 - 11H00,15k-25k,
140,Quán chay Thanh Lạc,Chay,Đồ chay,144 Nguyễn Tất Thành,Quận 4,10h30-21h,,
141,Ramen Danbo,Mì ramen,Món nước,8a/7b1 Thái Văn Lung,Quận 1,,,
142,Bún riêu vị bắc Cô Hương Béo,Bún riêu,Món nước,"110 Cao Thắng, Phường 4
19B Nguyễn Thị Minh Khai, Quận 1",Quận 3,6h - 21h30,45-60k,
143,Xủi cảo Hà Tôn Quyền ,Xủi Cảo,Món nước,"162 Hà Tôn Quyền, Q11",Quận 11,15h-0h," 50k-100k
",
144,Mì Trộn Nghèo,Mì trộn,Món khô,"42CT Tam Đảo, Q.10",Quận 10,(12h-23h),15k-35k,
145,Hẻm Trộn Ăn Vặt,Ăn vặt,Ăn vặt,"2 Nguyễn Lâm, Bình Thạnh",Quận Bình Thạnh,9h-22h,15k-60k,
146,Xôi Ngọc,Xôi ,Món khô,"101 Vạn Kiếp, Bình Thạnh ",Quận Bình Thạnh,(6-10h; 15-23h," 35k
",
147,Mì Hoành Thánh Sủi Cảo,Mì,Món nước,388 CMT8 ,Quận 3,(6-22h)," 25k
",
148,Mì Quảng Trộn Bắp Giò Cô Yến,Mì quảng,Món nước,"736/31 Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Phường 05, Quận Tân Bình, Hồ Chí Minh",Quận Tân Bình,"6-10h30; 14h30-18h30 (Thứ 6 nghỉ)","30-40k
",
149,Buffet cơm chay,Cơm chay,Cơm,"47Bis Võ Văn Tần Quận 3
",Quận 3,(10h30-14h),50k,
150,Bánh đúc hành phi,Bánh đúc,Món nước,"100/14 Thích Quảng Đức, P5, Phú Nhuận",Quận Phú Nhuận,từ 11h trưa đến hết,22-27k,
151,Lẩu Sa Tế Uyên Ương,Lẩu,Lẩu,"213 Trần Tuấn khải, P.7, Q.5",Quận 5,"170-250k",18h-23h,
152, Bún bò Huế Hoàng Sa,Bún bò Huế,Món nước,"725 Hoàng Sa, Quận 3",Quận 3,35k-50k,17h-19h,2 tiếng rất nhanh hết
153,Mì Ốc Hên Dì Lan,Mì,Món nước,"1A Cư Xá Đồng Tiến, Thành Thái ,Q.10
24 Đường Số 1, P.16, Gò Vấp
69/1/28 Nguyễn Gia Trí, P.25, Bình Thạnh
",,08:30 - 20:00,42k,
154,Bún măm Đầu Cá,Bún,Món nước,"98 Diên Hồng, Bình Thạnh",Quận Bình Thạnh,9h-20h,50k,
155, Bánh mì cụ lý,Bánh mì,Bánh mì,"189 Hai Bà Trưng, Q3",Quận 3,6h-9h,25k,
156,Bánh mì Đồng Nai,Bánh mì,Bánh mì,"70 Đồng Nai, P.15, Q.10",Quận 10,6h-13h,"17k",
157, Bún xì dầu,Bún xì dầu,Món nước,"01 Quách văn tuấn, p.12, Tân Bình",Quận Tân Bình,9h-20h,"40k
",
158,Bánh mì chiên tôm - chả giò,Bánh mì,Bánh mì,"403 Đoàn văn bơ, p13, quận 4",Quận 4,12h30-17h30,,
159,Mì quảng - Hủ tiếu mực,Mì quảng,Món nước,"243B Nguyễn Thượng Hiền, P.6, Bình thạnh",Quận Bình Thạnh,6h-20h,59k-70k,
160,Bánh mì Chả Cá Nha Trang,Bánh mì,Bánh mì,"12 Nguyễn Thị Minh Khai, Q1",Quận 1,6h-2h sáng,20k-30k,
161,"Bánh Mì Bì Thịt, Bánh Hỏi Nem Thịt Nướng",Bánh mì,Bánh mì,"22 Trần Kế Xương, Phú Nhuận",Quận Phú Nhuận,,15-35k,
162,"Bún bò Hẻm Hoàng Diệu ",Bún bò,Món nước,"243/35 Hoàng Diệu, Q4",Quận 4,,,
163,"Bánh Mì Chả Cá, Chả Ram, Chả bò Quảng Nam
",Bánh mì,Bánh mì,"05 Hoa Sứ, Phú Nhuận",Quận Phú Nhuận,,,
164,Bánh mì Heo quay - Nem Nướng - Bì,Bánh mì,Bánh mì,"Hẻm 19 Trần Bình Trọng, Bình Thạnh",Quận Bình Thạnh,6-10h,"20k
",
165,Bún Thịt Nướng Đêm,Bún thịt nướng,Món nước,"14 Vĩnh Khánh, Q.4",Quận 4,17h-3h sáng, 37k,
166,Bánh Ướt Cô Út 2H,Bánh Ướt,Món nước,"710/2 Phan Văn Trị, Gò Vấp",Quận Gò Vấp,11h30-21h30,100k,
167,Mỳ trộn thái,Mỳ trộn,Món khô,"100 Đường số 13, Tân quy, Quận 7",Quận 7,Sáng - 22h,60k,
168,Bún thịt nướng Cô Nga,Bún thịt nướng,Món khô,14 Vĩnh Khánh Quận 4,Quận 4,17h-3h sáng,"37k
",
169,Bánh mì 12k,Bánh mì ,Bánh mì,"24 lương thế vinh, tân phú",Quận Tân Phú,tối,12k,
170, Thịt xiên nướng,Thịt xiên nướng,Ăn vặt,"Trường marie curie 
159 Đ. Nam Kỳ Khởi Nghĩa, Võ Thị Sáu, Quận 3",Quận 3,tối,8k,
171,Cơm chiên ngon lạp xưởng chả,Cơm chiên,Cơm,"Ngã tư nguyễn công trứ - Yersin
349 nguyễn công trứ, Quận 1
",Quận 1,"3h30 Ngã tư nguyễn công trứ - Yersin
5h 349 nguyễn công trứ, Quận 1"," 30k
",
172,Bánh mì Kebab Lai VN,Bánh mì ,Bánh mì,752 Điện Biên Phủ,Quận Bình Thạnh,"Nghỉ CN, rằm 1-15) 6h00-12h30
",22k,
173,Bún riêu chị Lan,Bún riêu,Món nước,"41 Thái Ly, Quận 2",Quận 2,16h-21h, 25-40k,
174,"Bánh mì ca dé Hoa, Xôi sá bấu",Bánh mì ,Bánh mì,"327J Tùng Thiện Vương, Quận 8",Quận 8,"6h-8h",25 - 45k,
175,Hủ Tiếu Ngon rẻ,Hủ Tiếu,Món nước,"679/6 Vĩnh Viễn
659/7 Vĩnh Viễn",Quận 11,15:00 - 22:00,25k,
176,Xôi mặn gà gán,Xôi,Món khô,Trước trường bạch đăng Lê văn sỹ quận 3,Quận 3,,"25k
",
